student_id,skills,domain,age,govt_project,freelancer,project_impact,is_fresher,github,state,rural,female,profile_text
S00001,"excel, kubernetes, matlab, ios",Backend Development,29,0,1,0.4524793641595803,1,https://github.com/user_1,Kerala,0,0,"excel, kubernetes, matlab, ios Backend Development project_impact:0.4524793641595803"
S00002,"excel, powerbi, nlp, nodejs",Marketing,19,0,1,0.2588225031896787,1,https://github.com/user_2,Gujarat,1,0,"excel, powerbi, nlp, nodejs Marketing project_impact:0.2588225031896787"
S00003,"deep learning, ux, computer vision, kubernetes, sql",DevOps,24,1,1,0.1861050999697118,1,https://github.com/user_3,Rajasthan,1,0,"deep learning, ux, computer vision, kubernetes, sql DevOps project_impact:0.1861050999697118"
S00004,"computer vision, sql",Marketing,28,0,1,0.3847177963668703,0,,West Bengal,0,1,"computer vision, sql Marketing project_impact:0.3847177963668703"
S00005,"ux, sql, aws",Data Science,27,0,0,0.05589867289457542,1,https://github.com/user_5,Uttar Pradesh,0,0,"ux, sql, aws Data Science project_impact:0.05589867289457542"
S00006,"tableau, figma, kubernetes",Marketing,20,0,0,0.2207362460354259,1,,Gujarat,0,0,"tableau, figma, kubernetes Marketing project_impact:0.2207362460354259"
S00007,"gcp, r, figma",Finance,21,0,0,0.262910153615169,0,,Karnataka,0,1,"gcp, r, figma Finance project_impact:0.262910153615169"
S00008,"kubernetes, matlab",Frontend Design,28,0,0,0.18921919968666295,1,https://github.com/user_8,West Bengal,1,1,"kubernetes, matlab Frontend Design project_impact:0.18921919968666295"
S00009,"android, gcp, excel, figma, java",Backend Development,27,0,0,0.33409168818081364,1,https://github.com/user_9,Punjab,1,0,"android, gcp, excel, figma, java Backend Development project_impact:0.33409168818081364"
S00010,"nlp, html, ios, c++",Marketing,23,0,0,0.04034784941022129,1,,West Bengal,1,1,"nlp, html, ios, c++ Marketing project_impact:0.04034784941022129"
S00011,"fastapi, matlab, business analysis, java",Finance,22,0,0,0.05305879058429078,1,,West Bengal,0,0,"fastapi, matlab, business analysis, java Finance project_impact:0.05305879058429078"
S00012,"gcp, spring, react",Data Science,29,0,1,0.40370807864335745,1,https://github.com/user_12,Uttar Pradesh,1,0,"gcp, spring, react Data Science project_impact:0.40370807864335745"
S00013,"aws, computer vision",Mobile,26,0,0,0.01822041824369032,1,https://github.com/user_13,Karnataka,0,1,"aws, computer vision Mobile project_impact:0.01822041824369032"
S00014,"html, nodejs, python, spring, computer vision",Frontend Design,22,0,1,0.36040724749989883,1,https://github.com/user_14,Punjab,0,0,"html, nodejs, python, spring, computer vision Frontend Design project_impact:0.36040724749989883"
S00015,"excel, docker, python",Product,21,0,1,0.38402059378955855,0,https://github.com/user_15,Karnataka,1,1,"excel, docker, python Product project_impact:0.38402059378955855"
S00016,"finance, sql",Data Science,19,1,0,0.2946855543597045,0,https://github.com/user_16,Telangana,1,1,"finance, sql Data Science project_impact:0.2946855543597045"
S00017,"java, r, business analysis",Product,19,0,0,0.7974148934694557,0,,Maharashtra,1,0,"java, r, business analysis Product project_impact:0.7974148934694557"
S00018,"deep learning, spring, kubernetes, fastapi",Frontend Design,18,0,0,0.2564668583112566,1,,Tamil Nadu,1,1,"deep learning, spring, kubernetes, fastapi Frontend Design project_impact:0.2564668583112566"
S00019,"kubernetes, nodejs, react",Marketing,28,0,0,0.4126405746033751,0,https://github.com/user_19,Gujarat,0,1,"kubernetes, nodejs, react Marketing project_impact:0.4126405746033751"
S00020,"graphql, ios, flask",Mobile,19,0,0,0.08744523659069935,1,,Punjab,0,1,"graphql, ios, flask Mobile project_impact:0.08744523659069935"
S00021,"flask, tableau",Finance,19,0,0,0.5923828738662061,0,https://github.com/user_21,Maharashtra,1,1,"flask, tableau Finance project_impact:0.5923828738662061"
S00022,"finance, marketing, ios",DevOps,27,1,0,0.07953996613332237,0,,Kerala,0,1,"finance, marketing, ios DevOps project_impact:0.07953996613332237"
S00023,"ux, excel",Finance,27,0,0,0.5709746078719019,1,https://github.com/user_23,Karnataka,1,0,"ux, excel Finance project_impact:0.5709746078719019"
S00024,"ios, business analysis, react, tableau, aws",Marketing,25,0,1,0.4600375255687241,1,https://github.com/user_24,Maharashtra,1,0,"ios, business analysis, react, tableau, aws Marketing project_impact:0.4600375255687241"
